id,timestamp,operatingSystem,numberOfInstances,instanceName,vcpu,cpuUsage,memory,memoryUsage,networkPerformance,storageType,numberOfVolume,storageSize,numberOfALB,costPerMonth
30,2023-06-12 11:49:35,Linux,9,r5.4xlarge,8,95.299865,64,74.579381,Up to 10 Gigabit,EBS only,7,279,5,5297.31
31,2023-07-03 07:57:11,Linux,4,c5.2xlarge,4,77.187779,16,29.669988,Up to 10 Gigabit,EBS only,1,355,4,787.26
32,2023-06-20 03:16:07,Linux,4,t3.xlarge,4,73.784212,16,63.460433,Up to 5 Gigabit,EBS only,9,533,5,1590.02
33,2023-09-14 13:58:00,Linux,10,t3.medium,2,98.270976,4,54.09659,Up to 5 Gigabit,EBS only,1,44,4,225.34
34,2023-04-02 23:00:02,Linux,7,c5.12xlarge,16,27.516209,128,10.168678,12 Gigabit,EBS only,8,838,5,9050.34
35,2023-09-21 12:27:58,Linux,10,c5.2xlarge,4,71.692784,16,3.979971,Up to 10 Gigabit,EBS only,2,212,5,1847.64
36,2023-07-19 08:14:58,Linux,6,r5.2xlarge,4,25.393406,32,96.063048,Up to 10 Gigabit,EBS only,10,715,5,3453.32
37,2023-04-26 05:47:29,Linux,10,r5.2xlarge,4,26.313811,32,70.150658,Up to 10 Gigabit,EBS only,6,409,2,3295.24
38,2023-11-18 20:22:14,Linux,6,c5.2xlarge,4,8.084069,16,61.914888,Up to 10 Gigabit,EBS only,4,144,1,1192.2
39,2023-11-03 19:41:58,Linux,2,m5.2xlarge,8,31.608829,32,78.265251,Up to 10 Gigabit,EBS only,1,962,4,650.16
40,2023-02-07 16:52:04,Linux,8,t3.medium,2,19.431156,4,98.922197,Up to 5 Gigabit,EBS only,7,33,1,231.18
41,2023-05-24 08:19:59,Linux,9,c5.12xlarge,16,3.943078,128,92.572585,12 Gigabit,EBS only,3,106,1,9477.78
42,2023-04-24 04:07:42,Linux,4,t3.xlarge,4,23.767932,16,75.731942,Up to 5 Gigabit,EBS only,2,121,1,405.72
43,2023-04-14 08:22:57,Linux,3,m5.2xlarge,8,10.618652,32,7.060859,Up to 10 Gigabit,EBS only,3,37,3,628.92
44,2023-06-19 04:26:27,Linux,8,c5.2xlarge,4,41.485658,16,11.109904,Up to 10 Gigabit,EBS only,7,358,3,2041.48
45,2023-02-09 21:20:47,Linux,4,c5.2xlarge,4,83.709078,16,61.297843,Up to 10 Gigabit,EBS only,9,234,5,1242.52
46,2023-10-19 07:01:44,Linux,3,t3.medium,2,50.38243,4,54.277992,Up to 5 Gigabit,EBS only,1,207,2,117.99
47,2023-02-11 08:29:53,Linux,2,t3.medium,2,74.152207,4,67.547214,Up to 5 Gigabit,EBS only,2,637,5,374.02
48,2023-01-01 16:10:21,Linux,5,m5.2xlarge,8,57.250272,32,65.477539,Up to 10 Gigabit,EBS only,1,208,2,1054.18
49,2023-05-15 19:18:18,Linux,5,t3.medium,2,80.585484,4,30.490912,Up to 5 Gigabit,EBS only,3,852,2,771.51
50,2023-12-07 20:04:04,Linux,10,r5.4xlarge,8,1.919266,64,65.134489,Up to 10 Gigabit,EBS only,1,916,2,5559.86
51,2023-04-28 12:02:55,Linux,6,t3.xlarge,4,47.044052,16,9.633337,Up to 5 Gigabit,EBS only,10,843,5,2706.0
52,2023-01-05 19:01:24,Linux,7,r5.4xlarge,8,91.174582,64,94.163245,Up to 10 Gigabit,EBS only,8,627,2,5029.35
53,2023-06-25 06:33:17,Linux,10,c5.12xlarge,16,66.021599,128,31.662976,12 Gigabit,EBS only,8,740,1,11978.2
54,2023-12-19 07:37:46,Linux,1,c5.12xlarge,16,53.128792,128,58.078241,12 Gigabit,EBS only,5,514,2,1712.1
55,2023-01-08 06:56:16,Linux,3,r5.4xlarge,8,37.268726,64,36.415553,Up to 10 Gigabit,EBS only,10,791,5,3653.11
56,2023-03-24 08:41:43,Linux,10,t3.medium,2,79.074418,4,24.874178,Up to 5 Gigabit,EBS only,10,167,3,648.1
57,2023-02-22 08:39:03,Linux,2,m5.2xlarge,8,82.19618,32,42.211105,Up to 10 Gigabit,EBS only,3,757,4,990.5
58,2023-02-05 07:30:05,Linux,10,t3.xlarge,4,47.533876,16,77.340961,Up to 5 Gigabit,EBS only,8,242,2,1360.36
59,2023-10-14 05:29:12,Linux,1,c5.2xlarge,4,77.083902,16,24.008397,Up to 10 Gigabit,EBS only,9,976,1,2457.58
60,2023-09-04 15:03:36,Linux,3,c5.12xlarge,16,41.420325,128,96.177158,12 Gigabit,EBS only,8,24,4,3181.62
61,2023-01-26 11:38:45,Linux,8,r5.2xlarge,4,21.910092,32,46.177897,Up to 10 Gigabit,EBS only,4,889,4,3050.32
62,2023-05-20 17:09:41,Linux,5,r5.2xlarge,4,85.314961,32,85.963272,Up to 10 Gigabit,EBS only,9,225,2,1855.1
63,2023-04-27 23:39:18,Linux,3,r5.4xlarge,8,67.147041,64,88.333335,Up to 10 Gigabit,EBS only,10,674,2,3348.91
64,2023-08-08 05:22:12,Linux,10,c5.2xlarge,4,16.02178,16,84.623999,Up to 10 Gigabit,EBS only,10,508,2,3058.2
65,2023-04-04 18:59:56,Linux,10,r5.2xlarge,4,4.487289,32,97.067852,Up to 10 Gigabit,EBS only,6,647,2,3666.52
66,2023-03-26 13:04:13,Linux,9,r5.4xlarge,8,70.589027,64,27.930447,Up to 10 Gigabit,EBS only,8,754,5,6357.85
67,2023-09-17 22:02:46,Linux,1,c5.12xlarge,16,50.308618,128,67.202086,12 Gigabit,EBS only,7,77,3,1184.04
68,2023-08-20 03:41:03,Linux,10,r5.2xlarge,4,63.212647,32,60.476872,Up to 10 Gigabit,EBS only,9,227,2,3188.38
69,2023-06-27 20:33:09,Linux,2,t3.medium,2,4.874178,4,14.234074,Up to 5 Gigabit,EBS only,1,688,5,221.66
70,2023-01-16 21:56:51,Linux,7,r5.2xlarge,4,96.589939,32,82.791854,Up to 10 Gigabit,EBS only,9,811,4,3757.78
71,2023-06-07 15:51:54,Linux,7,m5.2xlarge,8,97.702605,32,52.445262,Up to 10 Gigabit,EBS only,1,355,3,1492.44
72,2023-02-08 17:08:25,Linux,5,c5.12xlarge,16,81.283998,128,70.227077,12 Gigabit,EBS only,5,514,1,5887.7
73,2023-06-05 12:36:56,Linux,2,t3.medium,2,62.135887,4,11.206249,Up to 5 Gigabit,EBS only,1,813,2,254.16
74,2023-12-26 15:46:08,Linux,8,m5.2xlarge,8,28.650592,32,66.853757,Up to 10 Gigabit,EBS only,9,368,4,2461.28
75,2023-04-20 05:09:33,Linux,9,r5.2xlarge,4,14.551986,32,62.989043,Up to 10 Gigabit,EBS only,4,112,3,2507.96
76,2023-02-14 00:42:45,Linux,5,c5.12xlarge,16,97.964257,128,57.999167,12 Gigabit,EBS only,5,297,3,5605.6
77,2023-02-01 03:52:53,Linux,10,t3.xlarge,4,38.157698,16,54.692355,Up to 5 Gigabit,EBS only,4,854,3,1745.16
78,2023-02-20 03:22:54,Linux,4,t3.medium,2,29.861916,4,31.735243,Up to 5 Gigabit,EBS only,5,911,5,1269.86
79,2023-09-19 08:57:17,Linux,9,m5.2xlarge,8,41.431206,32,98.442691,Up to 10 Gigabit,EBS only,4,654,1,2480.34
80,2023-08-11 03:59:49,Linux,3,t3.medium,2,71.976848,4,45.931317,Up to 5 Gigabit,EBS only,8,998,3,2140.01
81,2023-01-21 06:59:15,Linux,10,t3.xlarge,4,36.790427,16,14.902103,Up to 5 Gigabit,EBS only,1,21,2,862.46
82,2023-01-09 20:22:46,Linux,5,t3.medium,2,23.565944,4,67.069473,Up to 5 Gigabit,EBS only,9,545,2,1382.25
83,2023-10-10 01:47:39,Linux,1,t3.medium,2,67.715604,4,69.742593,Up to 5 Gigabit,EBS only,4,876,4,932.43
84,2023-02-18 15:17:28,Linux,8,t3.xlarge,4,30.753397,16,56.230895,Up to 5 Gigabit,EBS only,6,193,2,986.68
85,2023-09-02 06:53:00,Linux,1,c5.12xlarge,16,12.441071,128,28.825626,12 Gigabit,EBS only,9,440,2,2073.5
86,2023-10-23 16:26:04,Linux,2,m5.2xlarge,8,14.256509,32,70.127626,Up to 10 Gigabit,EBS only,1,78,1,420.32
87,2023-09-19 08:58:41,Linux,1,c5.2xlarge,4,99.651441,16,19.501317,Up to 10 Gigabit,EBS only,5,981,2,1449.04
88,2023-11-27 07:53:17,Linux,5,m5.2xlarge,8,21.333325,32,47.67979,Up to 10 Gigabit,EBS only,3,300,4,1234.1
89,2023-12-03 01:46:56,Linux,7,t3.xlarge,4,68.626287,16,46.379165,Up to 5 Gigabit,EBS only,4,762,5,1392.38
90,2023-06-10 05:33:12,Linux,7,r5.4xlarge,8,33.944388,64,96.613941,Up to 10 Gigabit,EBS only,10,451,1,4897.79
91,2023-07-28 23:29:52,Linux,2,t3.medium,2,20.751492,4,44.459895,Up to 5 Gigabit,EBS only,3,423,3,372.72
92,2023-06-20 20:04:03,Linux,1,t3.medium,2,13.171066,4,44.636483,Up to 5 Gigabit,EBS only,6,104,5,183.63
93,2023-10-05 18:14:35,Linux,9,t3.xlarge,4,32.473456,16,20.370001,Up to 5 Gigabit,EBS only,10,909,2,3134.7
94,2023-06-14 23:11:03,Linux,7,m5.2xlarge,8,16.188827,32,18.2031,Up to 10 Gigabit,EBS only,2,512,1,1666.38
95,2023-05-22 01:42:53,Linux,2,r5.4xlarge,8,35.527775,64,28.551297,Up to 10 Gigabit,EBS only,7,390,5,1774.14
96,2023-02-16 17:56:28,Linux,7,c5.2xlarge,4,89.092099,16,38.139266,Up to 10 Gigabit,EBS only,3,285,2,1438.48
97,2023-10-14 23:12:20,Linux,2,t3.medium,2,24.110163,4,80.818774,Up to 5 Gigabit,EBS only,9,631,5,1519.32
98,2023-12-24 01:27:40,Linux,2,c5.2xlarge,4,94.748077,16,88.16084,Up to 10 Gigabit,EBS only,6,423,4,1007.36
99,2023-09-27 05:44:35,Linux,8,c5.2xlarge,4,59.348672,16,91.110083,Up to 10 Gigabit,EBS only,9,311,5,2117.66
100,2023-11-17 12:51:09,Linux,4,t3.medium,2,62.665163,4,19.372276,Up to 5 Gigabit,EBS only,1,643,4,252.74
101,2023-02-04 20:26:41,Linux,10,m5.2xlarge,8,18.89772,32,75.176943,Up to 10 Gigabit,EBS only,2,781,4,2406.32
102,2023-11-01 22:44:50,Linux,8,t3.xlarge,4,67.109792,16,38.727645,Up to 5 Gigabit,EBS only,1,641,3,852.26
103,2023-05-03 23:03:47,Linux,7,t3.xlarge,4,76.74532,16,60.696746,Up to 5 Gigabit,EBS only,5,474,3,1216.1
104,2023-02-18 07:41:49,Linux,10,m5.2xlarge,8,56.889149,32,76.118194,Up to 10 Gigabit,EBS only,8,358,5,2744.84
105,2023-09-08 20:55:06,Linux,5,t3.xlarge,4,56.526871,16,48.82863,Up to 5 Gigabit,EBS only,1,175,4,474.0
106,2023-12-25 12:17:05,Linux,4,m5.2xlarge,8,76.209349,32,69.188521,Up to 10 Gigabit,EBS only,10,849,1,3007.48
107,2023-08-28 10:36:31,Linux,8,c5.12xlarge,16,24.024526,128,17.797854,12 Gigabit,EBS only,4,809,4,9192.56
108,2023-01-05 20:24:41,Linux,9,m5.2xlarge,8,23.354109,32,41.110724,Up to 10 Gigabit,EBS only,1,631,4,1964.24
109,2023-04-28 01:58:47,Linux,4,t3.xlarge,4,7.88783,16,36.386465,Up to 5 Gigabit,EBS only,3,671,1,866.18
110,2023-02-16 14:30:23,Linux,7,r5.4xlarge,8,88.201737,64,97.798366,Up to 10 Gigabit,EBS only,5,972,1,4988.79
111,2023-10-15 02:59:09,Linux,10,c5.2xlarge,4,13.984534,16,34.506484,Up to 10 Gigabit,EBS only,3,408,3,2055.64
112,2023-06-17 04:40:32,Linux,3,c5.2xlarge,4,35.399253,16,60.156935,Up to 10 Gigabit,EBS only,5,516,4,1192.02
113,2023-01-16 01:40:27,Linux,8,t3.medium,2,18.997782,4,95.804839,Up to 5 Gigabit,EBS only,5,247,1,492.22
114,2023-09-20 18:24:34,Linux,2,m5.2xlarge,8,54.275512,32,68.347975,Up to 10 Gigabit,EBS only,7,361,4,1057.06
115,2023-10-29 12:40:11,Linux,7,r5.2xlarge,4,10.078333,32,58.554544,Up to 10 Gigabit,EBS only,7,523,3,2811.9
116,2023-12-12 18:02:25,Linux,7,m5.2xlarge,8,97.70768,32,46.293616,Up to 10 Gigabit,EBS only,3,508,1,1796.38
117,2023-05-23 18:56:27,Linux,4,t3.medium,2,14.29631,4,92.785851,Up to 5 Gigabit,EBS only,3,738,3,661.2
118,2023-01-24 15:16:57,Linux,9,t3.xlarge,4,21.454733,16,26.906985,Up to 5 Gigabit,EBS only,8,551,5,1917.38
119,2023-07-05 23:13:00,Linux,4,t3.medium,2,51.951882,4,7.249177,Up to 5 Gigabit,EBS only,7,188,1,427.72
120,2023-06-01 18:10:06,Linux,1,t3.xlarge,4,17.96915,16,7.202817,Up to 5 Gigabit,EBS only,7,284,3,602.58
121,2023-08-31 17:07:18,Linux,4,t3.xlarge,4,57.711205,16,59.234378,Up to 5 Gigabit,EBS only,7,325,4,934.3
122,2023-02-06 02:21:19,Linux,2,m5.2xlarge,8,33.324743,32,33.944063,Up to 10 Gigabit,EBS only,3,882,5,1088.0
123,2023-06-23 18:42:36,Linux,7,c5.12xlarge,16,75.574435,128,36.663253,12 Gigabit,EBS only,10,651,3,8999.9
124,2023-05-23 12:58:50,Linux,6,t3.xlarge,4,68.859472,16,83.960084,Up to 5 Gigabit,EBS only,4,308,2,834.52
125,2023-02-12 13:16:30,Linux,8,m5.2xlarge,8,54.172449,32,42.741727,Up to 10 Gigabit,EBS only,2,926,1,2081.68
126,2023-09-02 17:33:23,Linux,4,r5.2xlarge,4,49.246354,32,42.606237,Up to 10 Gigabit,EBS only,4,984,3,2086.24
127,2023-07-22 02:02:55,Linux,7,t3.medium,2,71.549503,4,52.904259,Up to 5 Gigabit,EBS only,7,637,1,1309.07
128,2023-05-29 18:43:14,Linux,10,t3.xlarge,4,42.117431,16,93.251385,Up to 5 Gigabit,EBS only,2,318,3,1022.36
129,2023-07-17 05:52:57,Linux,3,t3.medium,2,94.866046,4,34.469723,Up to 5 Gigabit,EBS only,10,406,3,1119.77
130,2023-01-27 00:49:53,Linux,8,t3.xlarge,4,71.255306,16,35.142079,Up to 5 Gigabit,EBS only,9,559,2,1993.66
131,2023-01-18 15:04:20,Linux,7,t3.medium,2,87.296921,4,18.396329,Up to 5 Gigabit,EBS only,4,716,1,894.37
132,2023-08-07 16:17:51,Linux,8,c5.12xlarge,16,76.110203,128,85.872856,12 Gigabit,EBS only,1,419,3,8460.14
133,2023-04-11 20:36:57,Linux,10,t3.xlarge,4,93.620353,16,12.313678,Up to 5 Gigabit,EBS only,8,138,2,1144.04
134,2023-12-07 07:02:01,Linux,8,c5.2xlarge,4,57.649246,16,69.889236,Up to 10 Gigabit,EBS only,4,819,1,2241.68
135,2023-05-24 17:31:58,Linux,4,t3.xlarge,4,58.759186,16,91.879345,Up to 5 Gigabit,EBS only,3,884,1,1032.32
136,2023-01-25 07:30:31,Linux,6,m5.2xlarge,8,74.250832,32,8.635317,Up to 10 Gigabit,EBS only,2,49,4,1225.6
137,2023-10-12 11:44:36,Linux,1,r5.4xlarge,8,83.489416,64,9.866315,Up to 10 Gigabit,EBS only,4,578,2,1133.29
138,2023-04-22 01:55:01,Linux,6,r5.2xlarge,4,2.660077,32,77.575431,Up to 10 Gigabit,EBS only,8,727,5,3106.48
139,2023-06-10 20:29:16,Linux,8,r5.2xlarge,4,69.195554,32,6.265196,Up to 10 Gigabit,EBS only,5,178,2,2357.16
140,2023-06-24 09:30:14,Linux,3,c5.2xlarge,4,7.164951,16,1.550216,Up to 10 Gigabit,EBS only,10,567,1,1995.42
141,2023-03-09 12:17:34,Linux,7,r5.4xlarge,8,25.696097,64,11.459026,Up to 10 Gigabit,EBS only,2,415,2,3940.99
142,2023-08-15 03:15:15,Linux,1,c5.2xlarge,4,59.382182,16,31.800419,Up to 10 Gigabit,EBS only,1,662,1,345.86
143,2023-07-05 06:29:00,Linux,6,m5.2xlarge,8,31.402143,32,40.233697,Up to 10 Gigabit,EBS only,1,806,3,1409.68
144,2023-10-20 18:19:19,Linux,6,r5.4xlarge,8,57.827937,64,58.944259,Up to 10 Gigabit,EBS only,8,608,2,4457.66
145,2023-11-06 02:36:08,Linux,4,c5.2xlarge,4,2.961809,16,43.20535,Up to 10 Gigabit,EBS only,4,434,2,1146.32
146,2023-10-15 02:02:09,Linux,4,t3.xlarge,4,83.928984,16,62.374424,Up to 5 Gigabit,EBS only,10,630,5,1980.8
147,2023-03-06 05:53:29,Linux,4,t3.xlarge,4,44.914429,16,8.795904,Up to 5 Gigabit,EBS only,4,482,2,844.08
148,2023-02-05 06:46:55,Linux,5,c5.12xlarge,16,32.323488,128,65.760058,12 Gigabit,EBS only,3,819,2,5858.32
149,2023-03-08 11:53:59,Linux,1,t3.xlarge,4,47.333621,16,74.389902,Up to 5 Gigabit,EBS only,4,276,1,372.74
150,2023-04-25 06:46:38,Linux,7,r5.4xlarge,8,74.955352,64,20.649738,Up to 10 Gigabit,EBS only,1,281,3,3798.25
151,2023-10-23 08:03:05,Linux,8,r5.4xlarge,8,99.341156,64,49.17934,Up to 10 Gigabit,EBS only,1,261,5,4325.22
152,2023-11-03 16:59:51,Linux,3,c5.2xlarge,4,28.824666,16,86.714572,Up to 10 Gigabit,EBS only,9,216,3,1026.66
153,2023-03-01 01:02:01,Linux,5,r5.2xlarge,4,88.888732,32,41.313403,Up to 10 Gigabit,EBS only,10,457,3,2516.8
154,2023-03-21 21:34:57,Linux,2,c5.12xlarge,16,54.975463,128,70.330772,12 Gigabit,EBS only,9,900,4,4193.8
155,2023-12-02 17:31:39,Linux,6,m5.2xlarge,8,31.237436,32,22.80729,Up to 10 Gigabit,EBS only,8,652,1,2556.28
156,2023-10-30 03:31:52,Linux,6,c5.2xlarge,4,37.29578,16,48.256008,Up to 10 Gigabit,EBS only,8,219,4,1497.96
157,2023-08-11 10:21:24,Linux,4,r5.2xlarge,4,92.895316,32,67.907745,Up to 10 Gigabit,EBS only,9,490,1,2209.48
158,2023-10-13 17:55:52,Linux,7,r5.2xlarge,4,33.318518,32,19.30878,Up to 10 Gigabit,EBS only,4,475,5,2354.04
159,2023-07-31 10:51:49,Linux,7,t3.xlarge,4,35.051724,16,32.170487,Up to 5 Gigabit,EBS only,5,16,2,620.7
160,2023-04-15 12:07:26,Linux,2,r5.4xlarge,8,87.985001,64,70.393657,Up to 10 Gigabit,EBS only,10,920,5,3456.34
161,2023-01-04 08:36:35,Linux,10,r5.2xlarge,4,72.541523,32,50.547155,Up to 10 Gigabit,EBS only,9,58,4,2792.92
162,2023-11-08 06:45:09,Linux,6,t3.xlarge,4,1.52474,16,11.898502,Up to 5 Gigabit,EBS only,5,893,1,1675.1
163,2023-06-21 06:50:02,Linux,3,r5.2xlarge,4,1.707716,32,8.161783,Up to 10 Gigabit,EBS only,10,38,2,895.96
164,2023-03-18 14:53:54,Linux,1,r5.2xlarge,4,57.257343,32,97.124841,Up to 10 Gigabit,EBS only,6,381,4,860.08
165,2023-11-10 01:05:34,Linux,4,t3.medium,2,42.317769,4,67.152141,Up to 5 Gigabit,EBS only,9,709,5,1744.62
166,2023-05-12 20:58:40,Linux,4,t3.xlarge,4,30.922363,16,4.272735,Up to 5 Gigabit,EBS only,9,610,4,1770.2
167,2023-08-12 06:41:09,Linux,2,r5.2xlarge,4,50.291008,32,47.126257,Up to 10 Gigabit,EBS only,5,496,5,1176.24
168,2023-03-05 14:23:34,Linux,7,t3.medium,2,63.614649,4,65.734127,Up to 5 Gigabit,EBS only,5,234,3,453.93
169,2023-07-14 05:36:49,Linux,8,t3.medium,2,83.352899,4,47.132763,Up to 5 Gigabit,EBS only,5,593,4,942.02
170,2023-05-24 19:15:07,Linux,5,r5.2xlarge,4,83.839377,32,57.391725,Up to 10 Gigabit,EBS only,7,953,1,3063.06
171,2023-03-17 19:42:57,Linux,6,t3.xlarge,4,3.520008,16,17.774332,Up to 5 Gigabit,EBS only,8,689,1,1947.32
172,2023-09-20 14:28:10,Linux,4,m5.2xlarge,8,32.288419,32,72.548975,Up to 10 Gigabit,EBS only,4,163,2,969.6
173,2023-11-24 02:20:20,Linux,9,r5.4xlarge,8,63.22298,64,82.689689,Up to 10 Gigabit,EBS only,10,929,4,7204.93
174,2023-06-08 09:11:23,Linux,4,t3.xlarge,4,43.95348,16,40.260739,Up to 5 Gigabit,EBS only,6,942,4,1812.32
175,2023-09-24 11:17:10,Linux,7,m5.2xlarge,8,75.617243,32,48.916734,Up to 10 Gigabit,EBS only,5,689,2,2295.84
176,2023-08-04 08:31:23,Linux,10,m5.2xlarge,8,48.633365,32,14.32131,Up to 10 Gigabit,EBS only,3,717,2,2559.46
177,2023-11-26 01:56:44,Linux,2,t3.xlarge,4,43.742526,16,38.535272,Up to 5 Gigabit,EBS only,7,471,2,1028.62
178,2023-07-28 13:37:46,Linux,10,m5.2xlarge,8,71.801286,32,51.949666,Up to 10 Gigabit,EBS only,4,985,1,3024.6
179,2023-12-02 12:35:21,Linux,6,c5.12xlarge,16,9.586141,128,50.751594,12 Gigabit,EBS only,4,310,4,6585.8
180,2023-09-16 12:02:46,Linux,2,t3.xlarge,4,73.698042,16,98.153187,Up to 5 Gigabit,EBS only,7,9,3,187.78
181,2023-12-11 09:43:03,Linux,4,r5.4xlarge,8,31.844163,64,22.715348,Up to 10 Gigabit,EBS only,1,888,5,2359.56
182,2023-08-15 19:57:19,Linux,2,c5.2xlarge,4,95.279403,16,14.527895,Up to 10 Gigabit,EBS only,7,247,3,797.02
183,2023-11-21 13:50:01,Linux,10,c5.12xlarge,16,10.394506,128,15.98995,12 Gigabit,EBS only,5,386,1,10940.8
184,2023-08-03 19:09:58,Linux,2,t3.medium,2,59.418523,4,84.109362,Up to 5 Gigabit,EBS only,2,61,5,74.5
185,2023-07-24 07:21:49,Linux,10,m5.2xlarge,8,15.401723,32,97.342432,Up to 10 Gigabit,EBS only,6,133,1,2207.68
186,2023-08-18 05:34:00,Linux,7,t3.medium,2,72.171764,4,11.536482,Up to 5 Gigabit,EBS only,10,571,2,1634.33
187,2023-05-20 18:45:24,Linux,7,r5.2xlarge,4,75.01829,32,46.141386,Up to 10 Gigabit,EBS only,9,999,4,4197.7
188,2023-09-23 20:18:49,Linux,3,c5.2xlarge,4,91.004649,16,40.469535,Up to 10 Gigabit,EBS only,8,975,4,2549.22
189,2023-06-24 10:04:59,Linux,7,r5.4xlarge,8,56.038501,64,95.438562,Up to 10 Gigabit,EBS only,3,789,3,4340.61
190,2023-11-14 21:59:01,Linux,1,c5.12xlarge,16,11.992191,128,99.349824,12 Gigabit,EBS only,8,79,4,1208.22
191,2023-06-02 23:13:34,Linux,10,c5.12xlarge,16,89.211818,128,25.155464,12 Gigabit,EBS only,4,669,2,11134.76
192,2023-02-28 09:19:05,Linux,7,r5.2xlarge,4,82.015712,32,73.564656,Up to 10 Gigabit,EBS only,10,963,5,4363.84
193,2023-12-11 03:00:28,Linux,7,m5.2xlarge,8,40.376877,32,8.987253,Up to 10 Gigabit,EBS only,9,756,1,3169.18
194,2023-02-21 15:41:23,Linux,6,c5.2xlarge,4,80.987063,16,67.305924,Up to 10 Gigabit,EBS only,7,118,5,1257.2
195,2023-03-05 02:49:03,Linux,3,c5.2xlarge,4,36.714425,16,63.801357,Up to 10 Gigabit,EBS only,10,795,1,2588.22
